Извлечение обложек - включено
В Индексе таблицы каталогов отсутсвует 'path'

[root@dsgate py]# ../speed
books   books_min
2841    223.9947

Error extract cover from file: 271403.fb2

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  12  minutes,  40  seconds.
         123559147 function calls (112906817 primitive calls) in 760.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.001    0.000    0.002    0.000 codecs.py:429(read)
     57/9    0.001    0.000    0.383    0.043 <frozen importlib._bootstrap>:1559(_find_and_load)
     25/6    0.001    0.000    0.003    0.000 abc.py:191(__subclasscheck__)
       44    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x49412f60}
      585    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       14    0.001    0.000    0.004    0.000 abc.py:129(__new__)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:201(acquire)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:226(release)
     41/9    0.001    0.000    0.378    0.042 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
       60    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.001    0.001    0.060    0.060 decimal.py:113(<module>)
        1    0.001    0.001    0.024    0.024 {built-in method getaddrinfo}
        1    0.001    0.001    0.001    0.001 zipf.py:1040(<listcomp>)
      188    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
        9    0.001    0.000    0.001    0.000 datetime.py:301(__new__)
       20    0.001    0.000    0.013    0.001 sre_compile.py:365(_compile_info)
       20    0.001    0.000    0.084    0.004 re.py:268(_compile)
       61    0.001    0.000    0.001    0.000 __init__.py:58(__setitem__)
      199    0.001    0.000    0.001    0.000 sre_parse.py:140(append)
      200    0.001    0.000    0.001    0.000 sre_parse.py:128(__len__)
       54    0.001    0.000    0.001    0.000 sre_compile.py:358(_simple)
       80    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
      2/1    0.001    0.000    0.364    0.364 sopds-scan.py:4(<module>)
       20    0.001    0.000    0.052    0.003 sre_parse.py:738(parse)
       36    0.000    0.000    0.018    0.001 sre_compile.py:179(_compile_charset)
      136    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       57    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:181(__init__)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1455(__enter__)
       20    0.000    0.000    0.083    0.004 sre_compile.py:489(compile)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1459(__exit__)
        1    0.000    0.000    0.001    0.001 configparser.py:1108(_join_multiline_values)
        3    0.000    0.000    0.000    0.000 {built-in method dir}
       34    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
       28    0.000    0.000    0.002    0.000 configparser.py:755(get)
       14    0.000    0.000    0.001    0.000 abc.py:132(<setcomp>)
        1    0.000    0.000    0.001    0.001 dbapi.py:27(<module>)
