
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  6  minutes,  9  seconds.
         10984503 function calls (10890734 primitive calls) in 369.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.020    0.020 ssl.py:55(<module>)
      236    0.000    0.000    0.000    0.000 {built-in method release_lock}
       79    0.000    0.000    0.022    0.000 {built-in method next}
     63/9    0.000    0.000    0.396    0.044 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
       56    0.000    0.000    0.000    0.000 {built-in method utf_8_decode}
        1    0.000    0.000    0.002    0.002 threading.py:1(<module>)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1041(path_stats)
       20    0.000    0.000    0.041    0.002 sre_compile.py:474(_code)
        1    0.000    0.000    0.004    0.004 socket.py:45(<module>)
       79    0.000    0.000    0.022    0.000 codecs.py:689(__next__)
     41/9    0.000    0.000    0.459    0.051 <frozen importlib._bootstrap>:997(load_module)
        5    0.000    0.000    0.106    0.021 __init__.py:69(search_function)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       16    0.000    0.000    0.137    0.009 <frozen importlib._bootstrap>:496(set_package_wrapper)
        1    0.000    0.000    0.054    0.054 shutil.py:5(<module>)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(get_filename)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:79(add)
       28    0.000    0.000    0.000    0.000 __init__.py:784(__getitem__)
        1    0.000    0.000    0.077    0.077 zipf.py:5(<module>)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       20    0.000    0.000    0.001    0.000 sre_parse.py:180(__init__)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:38(_relax_case)
      169    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
      102    0.000    0.000    0.000    0.000 {built-in method setattr}
        1    0.000    0.000    0.192    0.192 connection.py:25(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
        5    0.000    0.000    0.002    0.000 __init__.py:41(__init__)
    38/12    0.000    0.000    0.003    0.000 {built-in method issubclass}
      151    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
      2/1    0.000    0.000    0.058    0.058 sopds-scan.py:154(processzip)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1013(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method compile}
       27    0.000    0.000    0.001    0.000 decimal.py:3949(__setattr__)
        2    0.000    0.000    0.001    0.001 gettext.py:353(find)
       38    0.000    0.000    0.000    0.000 {built-in method is_builtin}
       38    0.000    0.000    0.000    0.000 decimal.py:3913(<genexpr>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1144(is_package)
       54    0.000    0.000    0.000    0.000 sre_parse.py:136(__setitem__)
       28    0.000    0.000    0.000    0.000 configparser.py:402(_interpolate_some)
      135    0.000    0.000    0.000    0.000 {built-in method get_ident}
        1    0.000    0.000    0.000    0.000 errorcode.py:27(<module>)
      117    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
       37    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        2    0.000    0.000    0.197    0.099 __init__.py:26(<module>)
       41    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
       82    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 decimal.py:556(__new__)
       34    0.000    0.000    0.000    0.000 abc.py:478(__iter__)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       15    0.000    0.000    0.000    0.000 decimal.py:3924(_set_integer_check)
       40    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:285(_lock_unlock_module)
       40    0.000    0.000    0.000    0.000 sre_compile.py:471(isstring)
       16    0.000    0.000    0.136    0.009 <frozen importlib._bootstrap>:509(set_loader_wrapper)
      127    0.000    0.000    0.000    0.000 {built-in method ord}
       28    0.000    0.000    0.000    0.000 __init__.py:774(__init__)
        6    0.000    0.000    0.000    0.000 optparse.py:611(_set_attrs)
        6    0.000    0.000    0.001    0.000 optparse.py:999(add_option)
        6    0.000    0.000    0.000    0.000 decimal.py:3938(_set_signal_dict)
        6    0.000    0.000    0.001    0.000 optparse.py:562(__init__)
       56    0.000    0.000    0.000    0.000 {built-in method is_frozen}
       78    0.000    0.000    0.000    0.000 configparser.py:1013(<dictcomp>)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1147(<genexpr>)
        4    0.000    0.000    0.000    0.000 gettext.py:111(_expand_lang)
       30    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        5    0.000    0.000    0.002    0.000 abc.py:148(register)
       56    0.000    0.000    0.000    0.000 configparser.py:868(optionxform)
       28    0.000    0.000    0.000    0.000 configparser.py:389(before_get)
        1    0.000    0.000    0.015    0.015 cursor.py:25(<module>)
        1    0.000    0.000    0.037    0.037 configparser.py:119(<module>)
       30    0.000    0.000    0.000    0.000 decimal.py:3920(<genexpr>)
       20    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method any}
        1    0.000    0.000    0.005    0.005 errors.py:25(<module>)
       66    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 configparser.py:595(__init__)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
       20    0.000    0.000    0.000    0.000 sre_parse.py:726(fix_flags)
       41    0.000    0.000    0.000    0.000 {built-in method getlower}
        7    0.000    0.000    0.000    0.000 {built-in method print}
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1332(__init__)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.001    0.001 cp866.py:3(<module>)
        1    0.000    0.000    0.008    0.008 hashlib.py:63(<module>)
        1    0.000    0.000    0.107    0.107 conversion.py:25(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1396(_fill_cache)
        1    0.000    0.000    0.002    0.002 base64.py:3(<module>)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1244(_path_hooks)
        6    0.000    0.000    0.000    0.000 optparse.py:590(_set_opt_strings)
        5    0.000    0.000    0.002    0.000 abc.py:557(update)
        1    0.000    0.000    0.031    0.031 configparser.py:554(RawConfigParser)
        1    0.000    0.000    0.011    0.011 lzma.py:9(<module>)
        1    0.000    0.000    0.010    0.010 protocol.py:25(<module>)
        1    0.000    0.000    0.041    0.041 network.py:25(<module>)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method round}
        1    0.000    0.000    0.041    0.041 sopdscfg.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cursor.py:155(MySQLCursor)
        4    0.000    0.000    0.000    0.000 locale.py:339(normalize)
        1    0.000    0.000    0.000    0.000 decimal.py:3869(Context)
        1    0.000    0.000    0.000    0.000 optparse.py:1310(get_default_values)
        5    0.000    0.000    0.001    0.000 abc.py:175(__instancecheck__)
        1    0.000    0.000    0.000    0.000 connection.py:181(config)
