Извлечение обложек - отключено
В Индексе таблицы каталогов присутсвует 'path'


[root@dsgate py]# ../speed
books   books_min
2841    781.9266

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  3  minutes,  38  seconds.
         9935229 function calls (9841414 primitive calls) in 218.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1144(is_package)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1013(__init__)
        1    0.000    0.000    0.065    0.065 zipf.py:5(<module>)
        2    0.000    0.000    0.001    0.001 gettext.py:353(find)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
        1    0.000    0.000    0.156    0.156 connection.py:25(<module>)
       28    0.000    0.000    0.000    0.000 configparser.py:402(_interpolate_some)
       82    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 errorcode.py:27(<module>)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
       34    0.000    0.000    0.000    0.000 abc.py:478(__iter__)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       38    0.000    0.000    0.000    0.000 decimal.py:3913(<genexpr>)
       20    0.000    0.000    0.000    0.000 sre_parse.py:180(__init__)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:79(add)
      102    0.000    0.000    0.000    0.000 {built-in method setattr}
       42    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
      151    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.012    0.002 sopdsdb.py:224(findcat)
      117    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
       40    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      135    0.000    0.000    0.000    0.000 {built-in method get_ident}
        5    0.000    0.000    0.002    0.000 __init__.py:41(__init__)
    38/12    0.000    0.000    0.003    0.000 {built-in method issubclass}
       27    0.000    0.000    0.000    0.000 decimal.py:3949(__setattr__)
       78    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
       28    0.000    0.000    0.000    0.000 __init__.py:774(__init__)
        6    0.000    0.000    0.001    0.000 optparse.py:999(add_option)
       28    0.000    0.000    0.000    0.000 configparser.py:389(before_get)
        6    0.000    0.000    0.000    0.000 optparse.py:611(_set_attrs)
        4    0.000    0.000    0.000    0.000 gettext.py:111(_expand_lang)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:285(_lock_unlock_module)
       15    0.000    0.000    0.000    0.000 decimal.py:3924(_set_integer_check)
      2/1    0.000    0.000    0.058    0.058 sopds-scan.py:158(processzip)
