Извлечение обложек - отключено
В Индексе таблицы каталогов отсутсвует 'path'

[root@dsgate py]# ../speed
books   books_min
2841    843.8614

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  3  minutes,  22  seconds.
         9935229 function calls (9841414 primitive calls) in 202.813 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     57/9    0.001    0.000    0.388    0.043 <frozen importlib._bootstrap>:1509(_find_and_load_unlocked)
       82    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
       82    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:796(is_package)
    220/9    0.001    0.000    0.384    0.043 <frozen importlib._bootstrap>:581(_check_name_wrapper)
       42    0.001    0.000    0.002    0.000 codecs.py:429(read)
    65/20    0.001    0.000    0.051    0.003 sre_parse.py:353(_parse_sub)
       67    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
      397    0.001    0.000    0.003    0.000 sre_parse.py:204(match)
     57/9    0.001    0.000    0.389    0.043 <frozen importlib._bootstrap>:1559(_find_and_load)
     25/6    0.001    0.000    0.003    0.000 abc.py:191(__subclasscheck__)
      585    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       44    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x49412f60}
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:226(release)
       14    0.001    0.000    0.004    0.000 abc.py:129(__new__)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:201(acquire)
     41/9    0.001    0.000    0.384    0.043 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
        1    0.001    0.001    0.026    0.026 {built-in method getaddrinfo}
       60    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      188    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
       20    0.001    0.000    0.013    0.001 sre_compile.py:365(_compile_info)
        1    0.001    0.001    0.001    0.001 zipf.py:1040(<listcomp>)
       20    0.001    0.000    0.086    0.004 re.py:268(_compile)
      199    0.001    0.000    0.001    0.000 sre_parse.py:140(append)
       54    0.001    0.000    0.001    0.000 sre_compile.py:358(_simple)
        1    0.001    0.001    0.051    0.051 decimal.py:113(<module>)
        9    0.001    0.000    0.001    0.000 datetime.py:301(__new__)
       61    0.001    0.000    0.001    0.000 __init__.py:58(__setitem__)
       80    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1459(__exit__)
      2/1    0.001    0.000    0.175    0.175 sopds-scan.py:4(<module>)
       20    0.001    0.000    0.052    0.003 sre_parse.py:738(parse)
       36    0.001    0.000    0.019    0.001 sre_compile.py:179(_compile_charset)
